,country,average,iq,education_expenditure_per_inhabitant,daily_max_temp,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq
0,Singapore,above,108,908.0,31.5,83.0,89.0,79.0,100.0,45.0,55.0,42.0,719.0,5450000.0,7584.9
1,Hong Kong,above,108,915.0,26.2,77.0,85.0,100.0,97.0,49.0,61.0,52.0,1110.0,7410000.0,6678.5
2,Taiwan,above,106,26.9,23.84,59.58,54.29,62.5,79.73,50.85,51.19,38.96,35980.0,23580000.0,655.4
3,South Korea,above,106,537.0,18.2,81.0,75.0,92.0,95.0,56.0,42.0,41.0,100339.0,51740000.0,515.7
4,Japan,above,105,1258.0,19.2,87.0,86.0,92.0,97.0,54.0,27.0,41.0,377970.0,125680000.0,332.5
5,China,above,104,27.0,19.0,69.0,37.0,67.0,90.0,54.0,38.0,73.0,9562910.0,1412360000.0,147.7
6,Switzerland,above,102,2539.0,15.1,91.0,99.0,93.0,99.0,34.0,44.0,40.0,41290.0,8700000.0,210.6
7,Netherlands,above,102,1701.0,14.4,84.0,98.0,83.0,96.0,21.0,40.0,36.0,41543.0,17530000.0,422.1
8,North Korea,above,102,15.2,23.84,59.58,54.29,62.5,79.73,50.85,51.19,38.96,1478703.15,101358196.72,840.45
9,Macao,above,101,628.0,26.0,90.0,71.0,100.0,93.0,48.0,61.0,50.0,30.0,660000.0,21657.6
10,Iceland,above,101,2443.0,8.1,82.0,92.0,87.0,97.0,7.0,36.0,33.0,1478703.15,101358196.72,840.45
11,Finland,above,101,1990.0,8.2,85.0,100.0,87.0,93.0,17.0,46.0,32.0,338450.0,5540000.0,16.4
12,Canada,above,101,1661.0,7.3,85.0,92.0,78.0,97.0,33.0,37.0,45.0,9984670.0,38250000.0,3.8
13,Belgium,above,100,1676.0,14.8,75.0,87.0,88.0,92.0,20.0,32.0,40.0,30530.0,11590000.0,379.6
14,Germany,above,100,1385.0,13.7,82.0,94.0,96.0,95.0,21.0,44.0,42.0,357580.0,83130000.0,232.5
15,United Kingdom,above,100,1455.0,12.9,76.0,91.0,78.0,95.0,6.0,34.0,44.0,243610.0,67330000.0,276.4
16,Austria,above,100,1764.0,13.1,83.0,91.0,97.0,98.0,27.0,37.0,43.0,1478703.15,101358196.72,840.45
17,New Zealand,above,100,1283.0,17.3,91.0,100.0,81.0,95.0,36.0,26.0,37.0,267710.0,5120000.0,19.1
18,Norway,above,99,3527.0,9.0,89.0,99.0,90.0,99.0,17.0,42.0,37.0,385203.0,5410000.0,14.0
19,Sweden,above,99,2359.0,9.9,87.0,99.0,85.0,96.0,20.0,40.0,37.0,447430.0,10420000.0,23.3
20,Luxembourg,above,99,2310.0,14.6,93.0,99.0,85.0,100.0,25.0,46.0,42.0,2590.0,640000.0,246.7
21,Denmark,above,99,3127.0,12.5,86.0,100.0,85.0,95.0,17.0,35.0,41.0,42920.0,5860000.0,136.5
22,Czechia,above,99,387.0,12.8,78.0,73.0,90.0,93.0,22.0,49.0,40.0,1478703.15,101358196.72,840.45
23,Estonia,above,99,459.0,10.1,80.0,89.0,81.0,92.0,17.0,43.0,26.0,1478703.15,101358196.72,840.45
